experiment_name,backend,mpi_ranks,omp_threads,num_qubits,circuit_depth,num_cuts,total_tasks,batch_size,chunk_records,compute_seconds,write_seconds,read_seconds,total_seconds,global_sum,records_written,bytes_written,files_created,tasks_per_second,max_buffer_mb
memory_mpi1_b4096_c4096_cuts4_t4_rep0,memory,1,4,28,120,4,599837,4096,4096,0.039331,0.026953,0.001460,0.068339,-0.010880,599837,38389568,0,8777395.494746,36.611145
memory_mpi1_b4096_c4096_cuts4_t8_rep0,memory,1,8,28,120,4,599837,4096,4096,0.041087,0.024946,0.001482,0.068123,-0.010880,599837,38389568,0,8805245.488768,36.611145
memory_mpi1_b4096_c4096_cuts4_t12_rep0,memory,1,12,28,120,4,599837,4096,4096,0.044433,0.025084,0.001622,0.071733,-0.010880,599837,38389568,0,8362050.959389,36.611145
memory_mpi1_b4096_c4096_cuts6_t4_rep0,memory,1,4,28,120,6,9597401,4096,4096,0.644240,0.421202,0.023262,1.096398,-0.015582,9597401,614233664,0,8753570.263344,585.778870
memory_mpi1_b4096_c4096_cuts6_t8_rep0,memory,1,8,28,120,6,9597401,4096,4096,0.657698,0.421011,0.022803,1.109084,-0.015582,9597401,614233664,0,8653450.646308,585.778870
memory_mpi1_b4096_c4096_cuts6_t12_rep0,memory,1,12,28,120,6,9597401,4096,4096,0.680730,0.419636,0.023142,1.131005,-0.015582,9597401,614233664,0,8485724.886068,585.778870
memory_mpi1_b4096_c4096_cuts8_t4_rep0,memory,1,4,28,120,8,50000000,4096,4096,3.302429,1.840164,0.123587,5.304668,0.000027,50000000,3200000000,0,9425661.267451,3051.757812
memory_mpi1_b4096_c4096_cuts8_t8_rep0,memory,1,8,28,120,8,50000000,4096,4096,3.508842,1.907481,0.123799,5.580153,0.000027,50000000,3200000000,0,8960327.249158,3051.757812
memory_mpi1_b4096_c4096_cuts8_t12_rep0,memory,1,12,28,120,8,50000000,4096,4096,3.549805,1.835159,0.121983,5.545495,0.000027,50000000,3200000000,0,9016327.500308,3051.757812
memory_mpi1_b4096_c16384_cuts4_t4_rep0,memory,1,4,28,120,4,599837,4096,16384,0.039722,0.026613,0.001628,0.068566,-0.010880,599837,38389568,0,8748350.834133,36.611145
memory_mpi1_b4096_c16384_cuts4_t8_rep0,memory,1,8,28,120,4,599837,4096,16384,0.040881,0.024783,0.001652,0.067910,-0.010880,599837,38389568,0,8832875.921269,36.611145
memory_mpi1_b4096_c16384_cuts4_t12_rep0,memory,1,12,28,120,4,599837,4096,16384,0.043009,0.025236,0.001439,0.070312,-0.010880,599837,38389568,0,8531028.700092,36.611145
memory_mpi1_b4096_c16384_cuts6_t4_rep0,memory,1,4,28,120,6,9597401,4096,16384,0.640660,0.422325,0.024583,1.095142,-0.015582,9597401,614233664,0,8763615.159640,585.778870
memory_mpi1_b4096_c16384_cuts6_t8_rep0,memory,1,8,28,120,6,9597401,4096,16384,0.664948,0.426933,0.024039,1.123637,-0.015582,9597401,614233664,0,8541372.703805,585.778870
memory_mpi1_b4096_c16384_cuts6_t12_rep0,memory,1,12,28,120,6,9597401,4096,16384,0.677939,0.423790,0.022378,1.131699,-0.015582,9597401,614233664,0,8480520.720707,585.778870
memory_mpi1_b4096_c16384_cuts8_t4_rep0,memory,1,4,28,120,8,50000000,4096,16384,3.303369,1.842758,0.120942,5.305747,0.000027,50000000,3200000000,0,9423742.952815,3051.757812
memory_mpi1_b4096_c16384_cuts8_t8_rep0,memory,1,8,28,120,8,50000000,4096,16384,3.423757,1.850355,0.122961,5.436537,0.000027,50000000,3200000000,0,9197031.596763,3051.757812
memory_mpi1_b4096_c16384_cuts8_t12_rep0,memory,1,12,28,120,8,50000000,4096,16384,3.552371,1.829837,0.120027,5.540653,0.000027,50000000,3200000000,0,9024207.385596,3051.757812
memory_mpi1_b4096_c65536_cuts4_t4_rep0,memory,1,4,28,120,4,599837,4096,65536,0.039305,0.026001,0.001688,0.067591,-0.010880,599837,38389568,0,8874486.811710,36.611145
memory_mpi1_b4096_c65536_cuts4_t8_rep0,memory,1,8,28,120,4,599837,4096,65536,0.041015,0.024966,0.001371,0.067947,-0.010880,599837,38389568,0,8827974.682436,36.611145
memory_mpi1_b4096_c65536_cuts4_t12_rep0,memory,1,12,28,120,4,599837,4096,65536,0.042578,0.024839,0.001589,0.069614,-0.010880,599837,38389568,0,8616635.144914,36.611145
memory_mpi1_b4096_c65536_cuts6_t4_rep0,memory,1,4,28,120,6,9597401,4096,65536,0.638237,0.422987,0.025258,1.094054,-0.015582,9597401,614233664,0,8772328.302273,585.778870
memory_mpi1_b4096_c65536_cuts6_t8_rep0,memory,1,8,28,120,6,9597401,4096,65536,0.658719,0.420022,0.025367,1.111670,-0.015582,9597401,614233664,0,8633321.455074,585.778870
memory_mpi1_b4096_c65536_cuts6_t12_rep0,memory,1,12,28,120,6,9597401,4096,65536,0.686959,0.419043,0.024132,1.137704,-0.015582,9597401,614233664,0,8435761.038589,585.778870
memory_mpi1_b4096_c65536_cuts8_t4_rep0,memory,1,4,28,120,8,50000000,4096,65536,3.349886,1.877381,0.131997,5.398658,0.000027,50000000,3200000000,0,9261561.299215,3051.757812
memory_mpi1_b4096_c65536_cuts8_t8_rep0,memory,1,8,28,120,8,50000000,4096,65536,3.449374,1.883551,0.122440,5.494362,0.000027,50000000,3200000000,0,9100237.330549,3051.757812
memory_mpi1_b4096_c65536_cuts8_t12_rep0,memory,1,12,28,120,8,50000000,4096,65536,3.655726,1.875756,0.125856,5.697352,0.000027,50000000,3200000000,0,8776007.479423,3051.757812
memory_mpi1_b16384_c4096_cuts4_t4_rep0,memory,1,4,28,120,4,599837,16384,4096,0.038549,0.025618,0.001574,0.066860,-0.010880,599837,38389568,0,8971542.371755,36.611145
memory_mpi1_b16384_c4096_cuts4_t8_rep0,memory,1,8,28,120,4,599837,16384,4096,0.039772,0.025573,0.001324,0.067854,-0.010880,599837,38389568,0,8840060.352165,36.611145
